Date-ref	Time-ref	node-alm	REPT	Type	Date	Node	Group	Hour	week	
25-01-28	07:15:05	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	7	5	
25-01-28	07:15:05	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	7	5	
25-01-28	07:15:06	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	7	5	
25-01-28	07:15:06	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	7	5	
25-01-28	07:15:06	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	7	5	
25-01-28	07:16:20	bc_srvr16	SRS_FTP_PULLER.1	softwareError	01/28/25	D1-3	ADMIN	7	5	
25-01-28	07:37:34	bc_srvr17	XCOM.3	Informational	01/28/25	D1-4	SEARCH	7	5	
25-01-28	07:37:34	bc_srvr17	XCOM.4	Informational	01/28/25	D1-4	SEARCH	7	5	
25-01-28	07:37:37	bc_srvr20	XCOM.3	Informational	01/28/25	D1-7	SEARCH	7	5	
25-01-28	07:37:37	bc_srvr20	XCOM.4	Informational	01/28/25	D1-7	SEARCH	7	5	
25-01-28	07:37:37	bc_srvr24	XCOM.3	Informational	01/28/25	D1-11	SEARCH	7	5	
25-01-28	07:37:37	bc_srvr24	XCOM.4	Informational	01/28/25	D1-11	SEARCH	7	5	
25-01-28	07:37:40	bc_srvr24	XCOM.3	Informational	01/28/25	D1-11	SEARCH	7	5	
25-01-28	07:37:40	bc_srvr24	XCOM.4	Informational	01/28/25	D1-11	SEARCH	7	5	
25-01-28	07:38:07	bc_srvr32	CCA_ALARM.27	softwareError	01/28/25	D1-22	SEARCH	7	5	
25-01-28	07:40:47	FMS0	port	off	01/28/25	FMS0	ADMIN	7	5	
25-01-28	07:41:27	bc_srvr18	XCOM.3	Informational	01/28/25	D1-5	SEARCH	7	5	
25-01-28	07:41:27	bc_srvr18	XCOM.4	Informational	01/28/25	D1-5	SEARCH	7	5	
25-01-28	07:50:25	bc_srvr18	XCOM.2	Informational	01/28/25	D1-5	SEARCH	7	5	
25-01-28	07:50:26	bc_srvr18	XCOM.1	Informational	01/28/25	D1-5	SEARCH	7	5	
25-01-28	07:52:01	bc_srvr17	CCA_ALARM.27	softwareError	01/28/25	D1-4	SEARCH	7	5	
25-01-28	07:53:01	bc_srvr17	XCOM.1	Informational	01/28/25	D1-4	SEARCH	7	5	
25-01-28	07:53:01	bc_srvr17	XCOM.2	Informational	01/28/25	D1-4	SEARCH	7	5	
25-01-28	07:53:01	bc_srvr24	XCOM.1	Informational	01/28/25	D1-11	SEARCH	7	5	
25-01-28	07:53:01	bc_srvr24	XCOM.2	Informational	01/28/25	D1-11	SEARCH	7	5	
25-01-28	07:54:38	bc_srvr17	CCA_ALARM.34	softwareError	01/28/25	D1-4	SEARCH	7	5	
25-01-28	07:57:07	bc_srvr18	XCOM.3	Informational	01/28/25	D1-5	SEARCH	7	5	
25-01-28	07:57:07	bc_srvr18	XCOM.4	Informational	01/28/25	D1-5	SEARCH	7	5	
25-01-28	07:57:12	bc_srvr18	XCOM.1	Informational	01/28/25	D1-5	SEARCH	7	5	
25-01-28	07:57:12	bc_srvr18	XCOM.2	Informational	01/28/25	D1-5	SEARCH	7	5	
25-01-28	08:13:51	bc_srvr17	XCOM.1	Informational	01/28/25	D1-4	SEARCH	8	5	
25-01-28	08:13:51	bc_srvr17	XCOM.2	Informational	01/28/25	D1-4	SEARCH	8	5	
25-01-28	08:13:51	bc_srvr18	XCOM.1	Informational	01/28/25	D1-5	SEARCH	8	5	
25-01-28	08:13:51	bc_srvr18	XCOM.2	Informational	01/28/25	D1-5	SEARCH	8	5	
25-01-28	08:34:00	bc_srvr20	XCOM.1	Informational	01/28/25	D1-7	SEARCH	8	5	
25-01-28	08:34:00	bc_srvr20	XCOM.2	Informational	01/28/25	D1-7	SEARCH	8	5	
25-01-28	08:34:00	bc_srvr24	XCOM.1	Informational	01/28/25	D1-11	SEARCH	8	5	
25-01-28	08:34:00	bc_srvr24	XCOM.2	Informational	01/28/25	D1-11	SEARCH	8	5	
25-01-28	08:34:41	bc_srvr20	XCOM.3	Informational	01/28/25	D1-7	SEARCH	8	5	
25-01-28	08:34:41	bc_srvr20	XCOM.4	Informational	01/28/25	D1-7	SEARCH	8	5	
25-01-28	08:34:41	bc_srvr24	XCOM.3	Informational	01/28/25	D1-11	SEARCH	8	5	
25-01-28	08:34:41	bc_srvr24	XCOM.4	Informational	01/28/25	D1-11	SEARCH	8	5	
25-01-28	08:36:00	bc_srvr20	XCOM.2	Informational	01/28/25	D1-7	SEARCH	8	5	
25-01-28	08:36:00	bc_srvr24	XCOM.2	Informational	01/28/25	D1-11	SEARCH	8	5	
25-01-28	08:36:02	bc_srvr20	XCOM.1	Informational	01/28/25	D1-7	SEARCH	8	5	
25-01-28	08:36:02	bc_srvr24	XCOM.1	Informational	01/28/25	D1-11	SEARCH	8	5	
25-01-28	08:40:51	FMS0	port	off	01/28/25	FMS0	ADMIN	8	5	
25-01-28	08:44:14	bc_srvr17	CCA_ALARM.27	softwareError	01/28/25	D1-4	SEARCH	8	5	
25-01-28	09:18:36	bc_srvr24	CCA_ALARM.27	softwareError	01/28/25	D1-11	SEARCH	9	5	
25-01-28	09:20:33	bc_srvr24	CCA_ALARM.34	softwareError	01/28/25	D1-11	SEARCH	9	5	
25-01-28	09:28:42	bc_srvr32	CCA_ALARM.27	softwareError	01/28/25	D1-22	SEARCH	9	5	
25-01-28	09:40:55	FMS0	port	off	01/28/25	FMS0	ADMIN	9	5	
25-01-28	09:45:40	bc_srvr32	CCA_ALARM.34	softwareError	01/28/25	D1-22	SEARCH	9	5	
25-01-28	10:00:12	bc_srvr31	CCA_ALARM.27	softwareError	01/28/25	D1-21	SEARCH	10	5	
25-01-28	10:02:41	bc_srvr17	XCOM.3	Informational	01/28/25	D1-4	SEARCH	10	5	
25-01-28	10:02:41	bc_srvr17	XCOM.4	Informational	01/28/25	D1-4	SEARCH	10	5	
25-01-28	10:02:41	bc_srvr31	XCOM.3	Informational	01/28/25	D1-21	SEARCH	10	5	
25-01-28	10:02:41	bc_srvr31	XCOM.4	Informational	01/28/25	D1-21	SEARCH	10	5	
25-01-28	10:03:18	bc_srvr17	XCOM.2	Informational	01/28/25	D1-4	SEARCH	10	5	
25-01-28	10:03:18	bc_srvr31	XCOM.2	Informational	01/28/25	D1-21	SEARCH	10	5	
25-01-28	10:03:19	bc_srvr17	XCOM.1	Informational	01/28/25	D1-4	SEARCH	10	5	
25-01-28	10:03:19	bc_srvr31	XCOM.1	Informational	01/28/25	D1-21	SEARCH	10	5	
25-01-28	10:03:34	bc_srvr17	CCA_ALARM.64	softwareError	01/28/25	D1-4	SEARCH	10	5	
25-01-28	10:12:38	bc_srvr31	CCA_ALARM.6	softwareError	01/28/25	D1-21	SEARCH	10	5	
25-01-28	10:16:13	bc_srvr18	CCA_ALARM.34	softwareError	01/28/25	D1-5	SEARCH	10	5	
25-01-28	10:24:53	bc_srvr32	CCA_ALARM.27	softwareError	01/28/25	D1-22	SEARCH	10	5	
25-01-28	10:32:59	bc_srvr20	nasPlatformUtility.0	SCSI	01/28/25	D1-7	SEARCH	10	5	
25-01-28	10:32:59	bc_srvr20	nasPlatformUtility.0	SCSI	01/28/25	D1-7	SEARCH	10	5	
25-01-28	10:32:59	bc_srvr20	nasPlatformUtility.0	SCSI	01/28/25	D1-7	SEARCH	10	5	
25-01-28	10:32:59	bc_srvr20	nasPlatformUtility.0	SCSI	01/28/25	D1-7	SEARCH	10	5	
25-01-28	10:32:59	bc_srvr20	nasPlatformUtility.0	SCSI	01/28/25	D1-7	SEARCH	10	5	
25-01-28	10:32:59	bc_srvr20	nasPlatformUtility.0	SCSI	01/28/25	D1-7	SEARCH	10	5	
25-01-28	10:41:00	FMS0	port	off	01/28/25	FMS0	ADMIN	10	5	
25-01-28	10:43:57	bc_srvr17	CCA_ALARM.27	softwareError	01/28/25	D1-4	SEARCH	10	5	
25-01-28	10:44:48	bc_srvr20	XCOM.3	Informational	01/28/25	D1-7	SEARCH	10	5	
25-01-28	10:44:48	bc_srvr20	XCOM.4	Informational	01/28/25	D1-7	SEARCH	10	5	
25-01-28	10:44:48	bc_srvr30	XCOM.3	Informational	01/28/25	D1-20	SEARCH	10	5	
25-01-28	10:44:48	bc_srvr30	XCOM.4	Informational	01/28/25	D1-20	SEARCH	10	5	
25-01-28	10:45:37	bc_srvr20	XCOM.1	Informational	01/28/25	D1-7	SEARCH	10	5	
25-01-28	10:45:37	bc_srvr20	XCOM.2	Informational	01/28/25	D1-7	SEARCH	10	5	
25-01-28	10:45:37	bc_srvr30	XCOM.1	Informational	01/28/25	D1-20	SEARCH	10	5	
25-01-28	10:45:37	bc_srvr30	XCOM.2	Informational	01/28/25	D1-20	SEARCH	10	5	
25-01-28	10:46:21	bc_srvr17	CCA_ALARM.27	softwareError	01/28/25	D1-4	SEARCH	10	5	
25-01-28	11:05:37	bc_srvr24	CCA_ALARM.27	softwareError	01/28/25	D1-11	SEARCH	11	5	
25-01-28	11:10:34	bc_srvr17	CCA_ALARM.34	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:14:35	bc_srvr18	XCOM.3	Informational	01/28/25	D1-5	SEARCH	11	5	
25-01-28	11:14:35	bc_srvr18	XCOM.4	Informational	01/28/25	D1-5	SEARCH	11	5	
25-01-28	11:14:39	bc_srvr31	XCOM.3	Informational	01/28/25	D1-21	SEARCH	11	5	
25-01-28	11:14:39	bc_srvr31	XCOM.4	Informational	01/28/25	D1-21	SEARCH	11	5	
25-01-28	11:15:15	bc_srvr18	XCOM.2	Informational	01/28/25	D1-5	SEARCH	11	5	
25-01-28	11:15:15	bc_srvr31	XCOM.1	Informational	01/28/25	D1-21	SEARCH	11	5	
25-01-28	11:15:15	bc_srvr31	XCOM.2	Informational	01/28/25	D1-21	SEARCH	11	5	
25-01-28	11:15:16	bc_srvr18	XCOM.1	Informational	01/28/25	D1-5	SEARCH	11	5	
25-01-28	11:23:01	bc_srvr17	CCA_ALARM.27	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:27:00	bc_srvr24	CCA_ALARM.27	softwareError	01/28/25	D1-11	SEARCH	11	5	
25-01-28	11:28:55	bc_srvr32	CCA_ALARM.27	softwareError	01/28/25	D1-22	SEARCH	11	5	
25-01-28	11:29:47	bc_srvr17	CCA_ALARM.27	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:30:52	bc_srvr20	CCA_ALARM.34	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:32:01	bc_srvr33	CCA_ALARM.34	softwareError	01/28/25	D1-23	SEARCH	11	5	
25-01-28	11:33:59	bc_srvr17	CCA_ALARM.27	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:38:55	bc_srvr24	XCOM.3	Informational	01/28/25	D1-11	SEARCH	11	5	
25-01-28	11:38:55	bc_srvr24	XCOM.4	Informational	01/28/25	D1-11	SEARCH	11	5	
25-01-28	11:38:55	bc_srvr32	XCOM.3	Informational	01/28/25	D1-22	SEARCH	11	5	
25-01-28	11:38:55	bc_srvr32	XCOM.4	Informational	01/28/25	D1-22	SEARCH	11	5	
25-01-28	11:39:41	bc_srvr24	XCOM.1	Informational	01/28/25	D1-11	SEARCH	11	5	
25-01-28	11:39:41	bc_srvr24	XCOM.2	Informational	01/28/25	D1-11	SEARCH	11	5	
25-01-28	11:39:41	bc_srvr32	XCOM.1	Informational	01/28/25	D1-22	SEARCH	11	5	
25-01-28	11:39:41	bc_srvr32	XCOM.2	Informational	01/28/25	D1-22	SEARCH	11	5	
25-01-28	11:41:04	FMS0	port	off	01/28/25	FMS0	ADMIN	11	5	
25-01-28	11:41:42	bc_srvr17	nasPlatformUtility.0		01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:41:42	bc_srvr17	nasPlatformUtility.0		01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:42:53	bc_srvr17	CCA_ALARM.27	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:46:28	bc_srvr20	XCOM.3	Informational	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:46:28	bc_srvr20	XCOM.3	Informational	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:46:28	bc_srvr20	XCOM.3	Informational	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:46:28	bc_srvr20	XCOM.3	Informational	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:46:28	bc_srvr20	XCOM.3	Informational	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:46:28	bc_srvr20	XCOM.3	Informational	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:46:28	bc_srvr20	XCOM.4	Informational	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:46:28	bc_srvr20	XCOM.4	Informational	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:46:28	bc_srvr20	XCOM.4	Informational	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:46:36	bc_srvr20	CCA_ALARM.6	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:14	bc_srvr20	nasPlatformUtility.0	SOFTWARE	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:14	bc_srvr20	nasPlatformUtility.0	SOFTWARE	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:17	bc_srvr20	CCA_ALARM.7	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:17	bc_srvr20	CCA_ALARM.7	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:17	bc_srvr20	CCA_ALARM.7	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:17	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:17	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:17	bc_srvr20	nasPlatformUtility.0	SOFTWARE	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:17	bc_srvr20	nasPlatformUtility.0	SOFTWARE	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:18	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:18	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:18	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:18	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:18	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:18	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:18	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:18	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:18	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:18	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:18	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:18	bc_srvr20	CMP.150	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:19	bc_srvr24	CCA_ALARM.7	softwareError	01/28/25	D1-11	SEARCH	11	5	
25-01-28	11:47:19	bc_srvr24	CCA_ALARM.7	softwareError	01/28/25	D1-11	SEARCH	11	5	
25-01-28	11:47:20	bc_srvr17	CCA_ALARM.7	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:47:20	bc_srvr20	nasPlatformUtility.0	SOFTWARE	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:20	bc_srvr20	nasPlatformUtility.0	SOFTWARE	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:47:21	bc_srvr17	CCA_ALARM.7	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:47:22	bc_srvr17	CCA_ALARM.7	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:47:22	bc_srvr17	CCA_ALARM.7	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:47:22	bc_srvr17	CCA_ALARM.7	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:47:22	bc_srvr18	CCA_ALARM.7	softwareError	01/28/25	D1-5	SEARCH	11	5	
25-01-28	11:47:23	bc_srvr17	CCA_ALARM.7	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:47:26	bc_srvr18	CCA_ALARM.7	softwareError	01/28/25	D1-5	SEARCH	11	5	
25-01-28	11:47:26	bc_srvr18	CCA_ALARM.7	softwareError	01/28/25	D1-5	SEARCH	11	5	
25-01-28	11:47:28	bc_srvr24	CCA_ALARM.7	softwareError	01/28/25	D1-11	SEARCH	11	5	
25-01-28	11:47:29	bc_srvr17	CCA_ALARM.7	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:47:29	bc_srvr17	CCA_ALARM.7	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:47:29	bc_srvr17	CCA_ALARM.7	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:47:30	bc_srvr18	CCA_ALARM.7	softwareError	01/28/25	D1-5	SEARCH	11	5	
25-01-28	11:47:31	bc_srvr18	CCA_ALARM.7	softwareError	01/28/25	D1-5	SEARCH	11	5	
25-01-28	11:47:32	bc_srvr24	CCA_ALARM.7	softwareError	01/28/25	D1-11	SEARCH	11	5	
25-01-28	11:47:37	bc_srvr17	CCA_ALARM.7	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:47:37	bc_srvr17	CCA_ALARM.7	softwareError	01/28/25	D1-4	SEARCH	11	5	
25-01-28	11:47:38	bc_srvr18	CCA_ALARM.7	softwareError	01/28/25	D1-5	SEARCH	11	5	
25-01-28	11:47:49	bc_srvr20	CCA_ALARM.6	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:48:01	bc_srvr20	CCA_ALARM.34	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:48:08	bc_srvr20	CCA_ALARM.34	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:48:08	bc_srvr20	CCA_ALARM.34	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:49:47	FMS0	port	off	01/28/25	FMS0	ADMIN	11	5	
25-01-28	11:51:29	bc_srvr20	CCA_ALARM.6	softwareError	01/28/25	D1-7	SEARCH	11	5	
25-01-28	11:53:07	FMS0	port	on	01/28/25	FMS0	ADMIN	11	5	
25-01-28	11:59:06	bc_srvr32	CCA_ALARM.34	softwareError	01/28/25	D1-22	SEARCH	11	5	
25-01-28	11:59:32	bc_srvr18	CCA_ALARM.28	softwareError	01/28/25	D1-5	SEARCH	11	5	
25-01-28	12:05:06	bc_srvr24	CCA_ALARM.28	softwareError	01/28/25	D1-11	SEARCH	12	5	
25-01-28	12:10:12	bc_srvr20	nasPlatformUtility.0	ERROR	01/28/25	D1-7	SEARCH	12	5	
25-01-28	12:10:50	bc_lps51	CMPRS.1	softwareError	01/28/25	LPS-1	INTERCEPT	12	5	
25-01-28	12:10:50	bc_lps52	CMPRS.1	softwareError	01/28/25	LPS-2	INTERCEPT	12	5	
25-01-28	12:10:50	bc_lsrvr12	CMPRS.1	softwareError	01/28/25	LION-2	INTERCEPT	12	5	
